label,text
0.5,"Just slap the guy from the ""MacGyver"" show in the film, put in a half-assed idea that involves in an alien, make the U.S. government look like the bad guys? again, & boom! We got a forgetful children's movie."
5,"Fuck yah! Monster trucks are life! I love my truck, I call her the Big Balls of Death! Fuckkkk yah!!! I love my dog Greta, she is so cute!"
5,My husband and younger female cousin went with me to see this. We all enjoyed it. I don't understand why some didn't care for it? Great family movie. Good for boys n girls to enjoy.
3.5,Fun silly family movie with alien monsters who power trucks by hiding in their engines.
5,kids loved it..real cute
3,"It tries to pack in a lot of story lines. Hence, the scene setting drags. Once the action starts, it is good fun. Boy gets truck: girl gets boy."
5,Great funny movie for the family
4,good movie my kid 7 loved loved it
5,What a fun movie. Far better than Lego Batman. The critics have this one completely wrong.
4,Awesome action and adventure! Great kids movie!!
4,Good Family movie...
5,Such a cute movie! I don't get the low ratings.
1,It's looks like crap had a baby said go make a movie
4,When the head of the film company approaches his son for a film idea. Well not bad for a kids script!!!
5,good kid family movie
4,"This is a kids movie. Young kids, 12 and under will love it. If you keep that in mind, it's decent. If you expect anything more than that, you're making a huge mistake."
4,It was a fun movie for kids don't overthink it
4,very cute family oriented movie
0.5,Bad concept and bad execution tarnish this hybrid family-friendly film.
3.5,a okay movie it has great ending
0,I want to see how Lucas Till will do without the X- man because he was a Star as Havak and I really like the actor hope he does good.
5,It's actually really cool and super cute! Loved it!
4,Monster Trucks was a good movie and awesome I loved it.
4.5,"I was so surprised by this movie. It was ""Different"" and adorable. It was quirky, fun, funny and heartwarming. I don't understand today's Critics, they won't know a good movie if you hit them over the head with it. All the kids, I mean all the kids in the theater were clapping a cheering for the Monster Truck, It was good to see a clean cut, entertaining movie."
4.5,"I was so surprised by this movie. It was ""Different"" and adorable. It was quirky, fun, funny and heartwarming. I don't understand today's Critics, they won't know a good movie if you hit them over the head with it. All the kids, I mean all the kids in the theater were clapping a cheering for the Monster Truck, It was good to see a clean cut, entertaining movie."
4,"this movie did exactly what it is supposed to do...made me laugh-a LOT. sure, the hallmark of good sci-fi is that the science is basically believable. the science here isn't really believable, i mean, sure they could find species they don't know exist, but this type? nah that part doesn't exist. but i laughed through the whole movie and it had an all star cast of people i've loved in other things. Lucas Till (Havok from the X-men!) and Jason O'Mara (Agents of Shield!) then Rob Lowe (all those 80s movies and the West Wing) and Danny Glover (Lethal Weapon!) just to name a few. So this show won't win any oscars, but it's great for laughter. In fact, it's got a nice story of a kid bonding with an animal and learning to appreciate what he does have and a girl realizing not to judge kids she doesn't even know because she doesn't know what all they're dealing with. I appreciated the twist at the end with the step father not being a jerky loser because sometimes you find relationships that haven't been smooth are worth saving and movies that aren't going to win awards are worth seeing."
2,story was ok acting good had a great cast it was a fun movie not boring
3.5,"This film is not as bad as a lot of people make it out to be. It's not Oscar material, sure, but the story is nice and basic, perfect for children. If you are a fan of trucks in general, you just might get a kick out of it too. Is it good? It depends on what you're looking for. If you're looking for something that is serious and realistic, this is not for you. If you're looking for a nice, basic story with a lot of action and cool vehicles and monsters, then this is worth seeing at least once. I personally had fun with it."
5,"Not sure which movie the critics saw, but my 5yr old boy, 7yr old girl, and I loved it. It was full of adventure and had its share of humor. Definitely recommend."
2,"'Monster Trucks' is a flat, misguided, laughable, vaguely likable film that isn't going to be appreciated anytime soon, but doesn't deserve to be venomously hated either."
3.5,"definitely geared for guys, as cute movie with an age old formula."
2.5,"No es demasiado buena, no tiene mucha logica, pero se deja ver y entretiene. A mi hijo le ha gustado bastante"
4,It's a cute little movie! I really enjoyed it. My 4 year old was a little bored because the story was so good and for him but that's why I liked it. It taught that monsters are sweet animals.
4,"This was WAY more entertaining than I was expecting. Yes, it definitely has its problems (awful main character, wooden acting) but what it set out to do - entertain little children - it does extremely well. My kids LOVED it! I mean, c'mon - it has monsters AND trucks... combined. How could kids NOT enjoy that? (It has the guy who played Lt. Dangles from Reno 911; he gets some big laughs. Also, it has the single funniest use of the Wilhelm scream that I've ever seen. I was rolling!) This movie is a great example of critics missing the mark. It's a shame that many of them lack the empathy it takes to understand how a movie's actual target audience would view a film."
3.5,it wasn't too bad it wasn't a bad movie it just wasn't a great movie
0.5,when a 7 year old calls a movie stupid you know just how bad this kids movie is.
5,I think this movie was great and any audience would enjoy it!
3,"Lucas Till who looks like he's 30 plays a high school student that rides the short bus to school.I decided to see MONSTER TRUCKS out of morbid curiosity. Between the trainwreck of a production and the fact this movie was supposed to originally come out in Summer 2015; I couldn't help but want to see the final product. All things considered this movie truly isn't that bad and I liked it to a degree. There are plenty of issues, such as the opening line of my review. It's not even necessary to have him be a high schooler, the fact he's in high school is literally touched upon for about a total of 30 seconds. The script is weak and a lot of the dialogue is lame.Surprisingly enough this film is pretty competently made. Visually, it's actually quite impressive. The special effects are pretty decent. I mean the 125 million budget had to go into something, right? The CGI monsters look fine. The action sequences are fun. Lucas Till and my future wife Jane Levy both give good enough performances.My biggest problem with the movie is that Till's character is a total dick to Jane Levy's character for about 70% of the movie. HOW COULD ANYONE BE MEAN TO JANE LEVY!? SHE'S A SWEET HEART! So yeah the movie's biggest problem is the writing.Despite all the production issues this movie had the final production is actually ok/fine, which is pretty amazing all things considered. MONSTER TRUCKS is a corny kids movie that I couldn't help but to somewhat enjoy. Or maybe I'm just crazy, that could be it too."
2.5,"Monster Trucks is not awful, it's just emotionless and poorly acted."
4,"A fun-filled adventure with a fun story. However, seems like any other Nickelodeon movie."
5,fun feel good movie. plus I loved the creature design.
2,ummm nonothing about this movie workedmight be good enough for pre teens with all the sillynessbut could scare anyone under the age of 6.i couldn't even tell you what the plot was about nor the car chase at the end. wait for cable. don't waste your time
1,Nick Now Is Off My Intrests. THIS WAS GARBAGE UGH! This is so bad I hate the story! Omg this is embarashing.
5,"Monster Trucks was interestingly loosely relevant to the Dakota Access Pipeline squabble of 2016/2017 yet whimsical enough to feel delightfully unreal. With humor, occasional romance and relationshipal sound bites that will get some to reassess how they interact with one another in their everyday pursuit of happiness Monster Trucks hits it out of the park and is even a great napping movie for the recently retired grandparents.Katherine WhiteGhostWriter Titanic (1997 Film)(& various other works)"
2,Painfully Average movie :/ why did I even watch it.Movie for kids I guess.
3.5,cuter than I expected. my kid liked it so thats all that matters. she is 10.
3,"So far this is my guilty pleasure of 2017. It's cliched, been done, with such a silly idea, It's hard to believe that a movie like this could be made. Despite that, I think the two main characters have a familiar but still likable chemistry, and I did enjoy this crappy movie overall."
3.5,"""Monster Trucks"" is a wonderful film for you and your kids. It delivers a great commentary on greed, acceptance, the environment, and friendship while also being fun, whimsical and in some cases exhilarating AND exciting! Now, looking at the technical aspects of it, the film displays FANTASTIC CGI, AMAZING Acting, And a GORGEOUS Script and Screenplay! (Bonus points for the unnecessary amount of detail put into the background!) However, the film does have quite the list of flaws. these include: The Side-story of Trip looking for his father only being explored for about 10% of the film (Oh, and by the way, when Trip talks to him for the first time the father doesn't show any emotional reaction or deliver a touching monologue, instead, the father acts like he has already met Trip, which he hasn't, and invites them to his mobile home for a short chat that lasts about 30 seconds only to reveal that his father sold him out. I'm serious.) before being abandoned never explored again. The next on the list is that the film, although suitable for all ages, has an extremely dark theme. That theme in question is that they're going to POISON the nest of creatures and then harvest the oil from the nest once they're all dead. Dafuq? Anyway, we have more mistakes on the list to cover. The next is the terrible acting that Chris wedge delivers. It's so clunky and exaggerated and just overall bad. Anyway, thats Monster Trucks."
4,"I went into it not expecting much based on reviews and surprisingly I found it very interesting, cheesy at times but I enjoyed it."
4,For its purpose of greatly entertaining young kids and giving a little something to the parents the film accomplished those goals!
4.5,Was a good family movie... the kids loved it and even us adults enjoyed it. A must see for the family.
3.5,"A nice, simple fun kids movie that actually got me invested. Sure there are a few problems here and there but it's harmless. I won't be surprised if the DVD sales of this are good."
2.5,"Your kid will most likely be entertained by this movie, but as for yourself, it will be boring, but not really anything repulsive."
3.5,"You can't not atleast enjoy this a little very original idea and great casting, my son loved it, trying to find the figures now"
4,"This is a great movie geared to kids. It is not perfect, but expecting nuance in a movie about trucks with monsters in them is ridiculous. This is a fun and original concept that is great for spending time with the kids. Everything you need to know is on display on the movie. There is not enough of this out there, and these types of productions need support. The conversation with my son after was more about what if than what happened (i.e. Rogue One; great movie, but I had to explain alot to him about the lore and tie-ins.) Monster Trucks may not be much more than what the title promises, but that is what makes it great. Watch the movie, eat your popcorn, and enjoy time with your kids."
4,It was a good kids movie. Very entertaining for my 5 year old and 10 year old.
5,"We saw this with our 9 year old twins , it had terrible reviews but they really wanted to see it so we went anyways. It was actually pretty enjoyable, and Danny Glover has a role in the film. Kids will love it. Kind of a neat story. The stepdad ends up being a good guy , we both commented that was the first movie to show stepdad as a good guy and real dad as a dipship."
2,"It's reward season and I wanted to see Moonlight, Lion, 20th Century Woman or Fences but Kids so Monster Trucks! When I was explaining it to someone Mike reminded me ""they aren't aliens!"" Sorry Mike."
5,That movie was awesome cannot believe how it turns out if you could give it a eight stars. I would.
5,It encompasses everything my son loves! Such a great movie for a family without being a cartoon.
0.5,"As you can see by the Name, Picture, or trailers this movie was was gonna be fucking awful and it was I don't even need to explain why you should already know why its fucking bad especially being on the shelf since 2014 and Paramount already know this movie was bad and it bombingLucas Till (he left X-Men for this shit) and Jane Levy should feel embarrassed for being I'm itOverall Grade: F-"
4,absolutely adorable! not to mention ram trucks everywhere!!
5,This was a great imaginative feel good movie!!
3.5,(From a kid's perspective)
5,"This was a great movie to take the kids to see! I'm not sure why the critics crushed it, this movie contained everything that little boys love and I was riveted to the screen as well."
5,"Screw the critics. This movie is obviously aimed to kids who love monster trucks. My kids loved it, that's the whole point of the movie - go have a good time with your kids."
1,"A predictable story filled with cliche moments that abrupt ends. The lackluster story forgot to explain many things in the story. The CGI was either unrealistically done or is really ugly-looking. In the end, Monster Trucks was a bad movie."
2,"The Monster Trucks movie is up against some big hitters. Animations like Moana, Sing, and Trolls are pretty popular, and I wondered if it would be hard for the partly CGI'd movie to hold it's own. I went along to the family screening at Hoyts at the Entertainment Quarter, and the place was crawling with hyped up kids who were all pumped to meet Creech on the big screen. I was there for the ride with my superstar junior reporter eight-year-old Emir Yasemin and his parents.How Will The Adults Find The Monster Trucks Movie?Let's be honest, this movie is not for us, but kids movies these days do tend to add the odd secret adult joke in there for us, just to keep it bearable and add some light relief. This is missing from the Monster Trucks movie, which was a shame. There are glaring potholes and cheesy lines abound, and it seems to have taken bits from ET, Gremlins, and The Goonies. The high school sweetheart, Meridith, looks 27 years old and the actress (Jane Levy) had real trouble focussing on Creech and looked a bit vacant at times which was distracting. Even Rob Lowe and a pleasant surprise appearance by a favourite of mine, Barry Pepper, couldn't save this one for me.How Will The Kids Find It?Well, this is where my junior reporter Emir Yasemin comes in. Here are his thoughts on the Monster Trucks movie, which are far more important than my own.@duffythewriter monster trucks reviewWhat did you think of the family screening day? Were there things to do?I have noticed one activity which was colouring in and there was free drinks and popcorn.Have you heard of Monster Trucks before seeing the movie?Yes on commercials and I wanted to see this movieWhat is Monster Trucks about?A young man discovers a creature at his workplace, they become friends. A company wants to kill the creature and the young man tries to save himWhat are the best bits?The chase and the creature in the carWhat would make Monster Trucks better?More information about Creech more action and racingWho should go and see Monster Trucks?I've told my friends to watch this movieWhat's your score?Eight out of ten.Monster Trucks is in cinemas now rated PG. A pleasant way to while away a Sunday arvo if you have a bunch of eight and under kids to entertain! Just don't expect much for the adults."
2,#monstertrucks is not bad if you are just looking for some laughs. Typical monster comedy. (2/5Scales)
5,"this movie was way cuter than I expected, me and my group loved it!"
5,My whole family loved this movie.
5,Our family loved it. Perfect for kids. Thought the story had a lot of originality and good message. Plot had some twists but easy for kids to understand. Our eight year old and ten year olds loved it. They laughed throughout. Family friendly and clean too.
5,i think this might be the best movie next to the new power rangers
2.5,My daughter liked it.
2,"Over a year ago, I found myself scrolling through upcoming releases and became fascinated by a film called Monster Trucks. Without a plot synopsis, I was incredibly curious how they would pull off a film that is based around the fact that giant trucks leap over cars. Then the plot details were released, then the first trailer debuted, and then I found myself sitting in the theatre wondering why this film was ever made. It may be a harmless film for children between the ages of 4 and 10 to enjoy, but there is no way it's going to win over the parents that bring their kids or even the teenagers who like going to the monster truck events. There is a reason why this film was placed in January and here is why I believe Monster Trucks was doomed from the start.We've all seen this premise done a million times over, so what makes this interpretation so special? The answer is nothing. Tripp, a high-schooler who wants nothing more than to get away from his boring life, spends his Friday nights working at a junkyard, assembling a truck for himself. After an explosion at an oil facility, a creature escapes, wreaking havoc on the surrounding areas. Eventually finding a home under the hood of Tripp's truck, it becomes the engine he needs to power the truck, as well as an unlikely friend, whom also allows itself to be an icebreaker between Tripp and his friend Meredith. Sound silly? That's because it is. Due to the fact that this film is done with care and tries very hard to impress the younger demographic, it's extremely hard to criticize. Having said that, Monster Trucks really isn't that good of a film.From loud-mouthed bullies that are solely there to make our main character seem smaller, to generic plot devices like an absent father, to wanting to be his own man and prove he is worthy to the sheriff, there are so many laughable elements to Monster Trucks, and yet it plays out as if it doesn't even realize it clearly has these issues. The fact that every single scene is practically hiding a flaw makes this film look like a joke as a final product. Having said that, most young children will not have a clue that they have seen stories like this before, because it just embraces it. That is why this film is solely for children. I honestly feel that I would have loved this film if I had been a five year old sitting in the theatre. Also, there is one particular scene that bugged me. When the truck drives itself through the town for the first time in classic monster truck fashion, it drives over and crushes about 20 cars at dealership, and not a single person comes after them. Logic was completely out the window on that one.It should come as no surprise that trailers show far too much when it comes to any big-budget studio film that over-markets itself. Having said that, the trailers for Monster Trucks are some of the worst I have seen in a long time, due to the fact that it hides any slow moments and focusses completely on the action sequences. I think every single action scene was shown almost from beginning to end throughout the trailers, probably because the studio needed to showcase the ""monster truck"" element as much as they could. The studio themselves came out a couple months ago, stating that they whole-heartedly believed this film would be a failure. Well, if the opening weekend numbers are any indication, then an $11,000,000.00 haul for a film that cost the studio $125,000,000.00 should definitely be a wake-up call.In the end, I can't deny that this film tried its very best in making a competent picture, aiming itself at a very young demographic, but since it focussed so heavily on pleasing kids, there is not enough substance for adults to connect with. Sadly, there is more substance in Pixar films, due to the fact that they are children's films, aimed at all ages, helming extremely powerful stories. Monster Trucks squanders any promise it has and even though there is some clear effort put into the making of this film, there is not much to commend in the end. Overall, Monster Trucks boasts a few likeable characters, impressive visuals for what they are, and kids can have a blast with the action scenes and cute creatures, but as a film, it's just not very good. I admired the effort, but it's a flop in many more ways than one."
2,"""Kids will likely enjoy it, but I'm not even gonna remember this movie by the end of the month. Hell, I'm honestly having trouble remembering it right now."""
2,"Bland leads, confused plot, haphazard direction.But, hey, the monster is cute!"
1.5,Okay film is funny for kids.
5,Awesome movie. My children wife mom and step dad all enjoyed it. I can't see why it has a low rating.
1,Horrible..My 5 yr old thought it was OK but it was difficult to sit through
4,"What a cute movie. The theater was full, I wasn't expecting that but it was endearing, sweet, something everyone would love to be a part of, being a hero."
2,My 7 and 5 year old said it was the greatest movie ever and they want it on DVD for me...? I had a couple chuckles but honestly felt like going to sleep through the movie. I pay for 4 tickets and when I go to see a movie I try to pay the most attention to get the most for my money but I felt I wasted my money on this one. I feel the target age is 5-10.
3.5,"It was an enjoyable, not good or bad, just enjoyable. I recommend for kids whom liked E.T or Earth to Echo"
5,My 7 year old boy says that this movie is now his all time favorite movie
5,"Monster Trucks has a beautiful, elegant simplicity to it. It is a beacon of brilliance in film, and all artists and storytellers should look to it for guidance. No, I'm not kidding.Maybe it's just because a lot of dull and poorly-made movies have come out lately, but Monster Trucks blew me away by being so much better than I thought it would be. It has a sensible plot, likable and believable characters, arcs with payoff, foreshadowing, a fantastic cast, and so much more.It's convinced me that it must be harder to make a bad movie than a good one. It begins with a simple premise: what if monster trucks were actually trucks with monsters in them? Then, everything in the movie builds off of or supports that premise. It was carefully thought-out, and it has heart, and it has some seriously awesome action sequences. Everything was meticulously planned, from the tiny brick jokes to the actually important plot stuff.It sounds like sarcasm, but I would easily put Monster Trucks in my top 10 movies of all time if I knew what the other movies on that list were. For me, it beats out any of the big movies recently, like Rogue One or Passengers, and even movies I really liked, like La La Land or Hidden Figures.It's not getting the attention it deserves. Seriously, people, it has monsters, trucks, monsters in trucks, monster trucks, and monsters in monster trucks. And best of all, it makes all of that MAKE SENSE! And be funny! And even maybe make you cry a little bit at the end! What more could you possibly want?!"
5,Loved the story. For a movie written by a four year old it was surprisingly good. I would recommend it to a kid form 7-10
5,My favorite film of all time
3,"Monster TrucksInitial Reaction: A movie about trucks that become monsters or monsters that become trucks?Main Characters Tripp: He's a worker at a junkyard. He's played by Lucas Till.Plot Sumary When an oil company searches through the earth for the next stash of oil, they run into a huge batch of water. When they try to punch through it, they find that it is inhabited by squid like creatures. One of the creatures manages to escape while two others get caught by the company. The escaped squid creature hides in a junkyard and is found by Tripp. They have a bit of a rough first impression, but it's not long before the creature and Tripp become friends. That's when Tripp finds out that these creatures drink oil instead of water and they can be used as engines for large trucks. Tripp outfits one such truck with his squid pal, and they are off. But when several guys from the oil company shows up at Tripp's door to find the missing squid creature, it gives him reason to help that squid creature find the other two creatures and set all of them free.SCORINGMain Characters Trip is really good as a guy who just wants to do the right thing. And he has great chemistry with the squid creature. SCORE: 9Supporting Cast There's the leading lady who's there to be the ""his girlfriend but not his girlfriend"", a bunch of standard bad guys and the father figure who for some reason isn't around to help out. Not a good group. SCORE: 4Plot The film starts off great with the creatures being found - and how Tripp and his squid become friends. But the climax is really convoluted and the resolution leaves a lot to be desired. SCORE: 5Originality This film feels like your average alien film; the trucks really don't add much to the mix. And it also suffers from bland bad guys and the bland leading lady. SCORE: 5Violence Factor There are a lot of trucks bashing into each other, and some of them crash. But we don't see any damaged or destroyed trucks onscreen - they just vanish as if they never existed. Not good. SCORE: 4Other Moral Issues This film does a great job of showing how two totally different creatures can learn to work as a team. SCORE: 8Final Score (Out of 60): 35 % Score: 58.33% It's got a great pair of leads, but the rest of the cast is forgettable."
5,"all the critics here are MORONS. Monster Trucks is a superior film, i touched myself the entire time i was in the theatre. Creech's performance throughout this entire film was wonderful, dare tell me that he's cgi and not a real monster and i will shank you next time i confront you in the back alley of the local krogers. not all heroes wear capes, and in the case of monster trucks, my hero wears an entire fucking truck on its body. fuck yeah, mothertruckin' monster trucks."
1.5,"Other than one or funny moments, this movie was a total waste of time. I had more fun completing my tax return."
2,"When looking at a trailer for ""Monster Trucks,"" you can easily say that it looks like any other poorly made January cash grab. However, ""Monster Trucks"" will surprise audiences by being more than that. Although the over-the-top performances and the poor production value are certainly not ideal, kids should have a fun time with ""Monster Trucks."" It isn't great, but it's mediocre enough for the target audience to get behind it."
5,This is a thoroughly entertaining family movie. I brought my 12 year old son and we both enjoyed it equally. Ignore the cynical critic on this one. It's the kind of film that I loved as a kid because it has that good hearted center of classic story telling that is painfully missing in today's movies. Go see for yourself and enjoy the ride.
5,if u have kids its great for them.!
2,"When looking at a trailer for ""Monster Trucks,"" you can easily say that it looks like any other poorly made January cash-grab. However, ""Monster Trucks"" will suprise audiences by being more than that. Although the over-the-top performances and the poor production value are certaintly not ideal, kids should have a fun time with ""Monster Trucks."" One thing that really bothered me about the film was the first act. It wasn't slow, but the characters were so dumb that it was hard to feel for them in their situations. The camera work was also pretty questionable, but everything (for the most part) is just mediocre enough that the target audience won't seem to care."
2,Fast & Furious+Free Willy+Mcgiver+Pokemon?? lol
5,It was actually good! I had many laughs and 7years old kid loved it!
1.5,An absolute destruction of a film. Overall Rating 5.7/10
4,A fun original movie that all audiences will enjoy and has a few subtle political and environmental messages up its sleeve as we head into a weird time.
0,This movie is a masterpiece! 12/10Best comedy of 2017
5,"Me encanto,,mucha accion,,muy tierna,,mucha aventura..genial para toda la familia,,mucho mejor q en trailer.."
5,"an absurd, but fun family movie, loved it!"
5,"My son and his friend LOVED it. In fact, he exclaimed, ""That was awesome!"" on more than two occasions. I imagine he is in a better place to judge a movie made for kids than an adult critic."
5,"The same folks that said Home Alone was 1-star, because it didn't have the depth of the Godfather are the same folks telling you this movie has no audience. This is a great film geared towards kids 12 and under that can be enjoyed by the whole family. Just went with three families - 10 of us total - and everyone enjoyed it (from age 3-60). If you have young boys, they will love it."
4,"It was actually (shockingly) a pretty good story, even though it was a little cheesy in parts. My 8 year old loved it, my 12 year old thought it was pretty good. My wife and I were both assuming it was going to be awful. Not a must see but not as bad as the ratings here."
3,"Time will tell, but Monster Trucks just might qualify as the strangest movie I see this year. For one, the film is a big budget production that has apparently found itself in a battle against its own idea. Letting the idea of a monster that inhabits a truck apparently makes for good internet fodder (even if it was only going off the trailer). This likely led to the film only bringing in 10 million over the weekend (for a film that cost close to 200 million to make). Secondly, word on the street is that the film was originally being written for a slightly older crowd. Forecasting the challenge of the internet fodder pushed it back onto the editing floor in efforts to reformat its core audience. This ended up tweaking the story a bit younger than intended. All of this has led to a film that tries to be a number of things all at the same time. Having seen the film, I must say, they actually do a decent job at explaining the whole idea of the monster in the truck. If there was a way for them to make the whole concept make sense (pratically), they managed to find a way, and it keeps the film from becoming cheesy.It is still, however, a film about a monster in a truck, and there were a number of ways they could approach the story behind the concept. After moving us through a very quick sequence of events that bring the monster into play, we are introduced to the main character (Tripp) who is presented as a young senior trying to navigate a broken home and difficult social life (alcoholic and absent father, outcast at school). These opening scenes are quite good, and open the door to approach the film in a more serious manner (kind of like they did with Pete's Dragon). But then we veer into some sequences that feel more like a film that intends to approach the concept in a more over the top, fun and ridiculous manner. More of a satire and farce than a serious story. This back and forth follows the film throughout, moving from the action sequences to the more serious subject matter (which moves from Tripp to a message about environmentalism). It gives the entire film a weird and loopy feel that left me uncertain about what kind of film it really wanted to be. And here's the thing: the on-screen monster (which is not really a monster) looks quite good, and the film spends a good deal of time giving us some nice close up shots of the monster's detail. But this attention to detail mixes a weirdly compelling gross factor with the sweetness that story brings out of the creature. It's a rather confusing mix of emotion. And this is not to mention it is a film about environmental consciousness that is also about a gas guzzling truck. But hey, that should reach both crowds right?The film is a mix of old school 80's films, throwing in a little bit of E.T. and A Never Ending Story with a bit of Pete the Dragon and Herbie. If that makes any sense you are further along than I am in understanding Monster Trucks. And to be honest, I could see my 8-10 year old self loving this film back in the 80's. As an adult, I must admit that it succeeded in taking me back to my 8 year old self. There is a cohesive story, and the seriousness of the opening sequence gives it just enough to carry through some of the hodge podge of tones, just enough to enjoy the heart behind the monster-Tripp relationship, even as we are laughing at the more satirical parts of the film in the next scene (I hope Jane Levy's character was intended as a satire, because I laughed every time she was on the screen). I think if you choose not to take the film too seriously, but allow yourself to fall for the weirdly charming monster, you might get this film. If you are free to yell ""come on Macgyver"", and still care enough to say ""awe"" when Tripp says ""you are a good monster"", you might enjoy the film. And your experience might depend on the company you watch it with. It is a film that I think our son would have really liked two years ago. He simply enjoyed it at 15. I enjoyed it because I was able to allow myself to shed a few years off of myself at the same time."
3.5,My daughter really enjoyed this movie. It was the first time she has gone to a non animated film in the theaters so I was not sure how she'd like it. It had just enough CGI and action to keep her thoroughly entertained throughout the whole film.
4,Great Movie! Kids really enjoyed it! Don't pay attention to the nay-saying critics. It's a fun fictional movie!
4.5,My 5 year old and I thought it was very entertaining. Kept his attention and mine from start to finish.
4,"Read a lot of terrible reviews about this movie, but in a somewhat telling situation my four-almost-five-year-old boy BEGGED us to take him, so we did. Sure, Rolling Stone and the LA Times thought it was crap, but I suspect if they had been four year old boys reviewing it they would have given it four stars, as I am, on behalf of my boy. The story is cute and simple. The trucks are...monster-ish. The monster is actually pretty cute. There are no curse words or violence. No sarcasm or cynicism. Just a cute story about monsters and trucks. What more could a little kid ask for?"
